link,title,description,category,pub_date,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15
https://vnexpress.net/them-mot-nguoi-hai-duong-mot-quang-nam-nhiem-ncov-4147473.html,"Thêm một người Hải Dương, một Quảng Nam nhiễm nCoV","Bộ Y tế sáng 17/8 ghi nhận hai ca nCoV, trong đó một ca ở Hải Dương, một Quảng Nam, nâng tổng số ca nhiễm lên 964.",Sức khỏe,"Thứ hai, 17/8/2020, 06:10 (GMT+7)",covid-19,dương tính ncov,ca nhiễm mới,covid-19,,,,,,,,,,,,
https://vnexpress.net/xu-phat-13-nguoi-khong-khai-bao-y-te-4147396.html,Xử phạt 13 người không khai báo y tế,"Ngày 16/8, 13 người liên hoan tại nhà hàng Thế giới bò tươi (36 Ngô Quyền, TP Hải Dương) không khai báo y tế nên bị phạt mỗi người 300.000 đồng.",Thời sự,"Chủ nhật, 16/8/2020, 19:34 (GMT+7)",hải dương,xử phạt,khai báo y tế,,,,,,,,,,,,,
https://vnexpress.net/gene-ncov-benh-nhan-hai-duong-giong-chung-moi-da-nang-4147388.html,Gene nCoV bệnh nhân Hải Dương giống chủng mới Đà Nẵng,"Kết quả giải mã gene ""bệnh nhân 867"" ở Hải Dương do Viện Vệ sinh dịch tễ Trung ương thực hiện, cho thấy giống với chủng nCoV mới tại Đà Nẵng.",Sức khỏe,"Chủ nhật, 16/8/2020, 19:28 (GMT+7)",covid-19,hải dương,đà nẵng,chủng ncov,chủng virus mới,giống nhau,ổ dịch,,,,,,,,,
https://vnexpress.net/benh-nhan-covid-19-thu-9-o-ha-noi-di-chuyen-nhieu-noi-4147385.html,Bệnh nhân Covid-19 thứ 9 ở Hà Nội di chuyển nhiều nơi,"Trước khi được Bộ Y tế ghi nhận là ""bệnh nhân 962"" chiều 15/8, người đàn ông 30 tuổi ở Hà Nội đã gặp nhiều người, đi du lịch cùng cơ quan.",Thời sự,"Chủ nhật, 16/8/2020, 19:50 (GMT+7)",bệnh nhân 962,di chuyển nhiều nơi,covid-19,hà nội,covid-19,,,,,,,,,,,
https://vnexpress.net/lich-trinh-cua-ba-nguoi-mac-covid-19-song-cung-nha-4147432.html,Lịch trình của ba người mắc Covid-19 sống cùng nhà,"Ba người nhiễm nCoV có quan hệ ruột thịt, sống cùng nhà, cùng đến Bệnh viện Đà Nẵng chăm người thân.",Thời sự,"Chủ nhật, 16/8/2020, 21:53 (GMT+7)",đà nẵng,ncov,covid-19,đám tang,ca bệnh mới,,,,,,,,,,,
https://vnexpress.net/tai-nan-xe-khach-8-nguoi-chet-do-lo-xe-cam-lai-4147447.html,Tai nạn xe khách 8 người chết 'do lơ xe cầm lái',"Công an huyện Hàm Tân xác định người điều khiển xe khách gây tai nạn làm 8 người chết, 7 người bị thương là lơ xe chứ không phải tài xế.",Pháp luật,"Chủ nhật, 16/8/2020, 22:54 (GMT+7)",tai nạn giao thông,tai nạn xe khách,tai nạn 8 người chết ở hàm tân,điểm đen bình thuận,,,,,,,,,,,,
https://vnexpress.net/new-zealand-hoan-bau-cu-do-covid-19-4147474.html,New Zealand hoãn bầu cử do Covid-19,"Thủ tướng New Zealand Ardern tuyên bố lùi cuộc tổng tuyển cử sắp diễn ra thêm 4 tuần, tới ngày 17/10, sau khi tái xuất hiện các ca nhiễm nCoV.",Thế giới,"Thứ hai, 17/8/2020, 06:38 (GMT+7)",new zealand,ca nhiễm cộng đồng,tổng tuyển cử,hoãn bầu cử vì covid-19,covid-19 tại new zealand,jacinda ardern,,,,,,,,,,
https://vnexpress.net/cau-thu-man-utd-chui-nhau-4147469.html,Cầu thủ Man Utd chửi nhau,"Trung vệ Victor Lindelof gọi tiền vệ Bruno Fernandes là ""Đồ chó đẻ"", sau bàn thua 1-2 khiến Man Utd bị Sevilla loại ở bán kết Europa League hôm 16/8.",Thể thao,"Thứ hai, 17/8/2020, 05:44 (GMT+7)",man utd,bruno fernandes,lindelof,sevilla,,,,,,,,,,,,
https://vnexpress.net/kinh-te-trung-quoc-but-toc-sau-dai-dich-4147310.html,Kinh tế Trung Quốc 'bứt tốc' sau đại dịch,"Kinh tế trong nước đóng vai trò động lực tăng trưởng chính với ""bệ đỡ"" từ đầu tư nước ngoài và công nghệ giúp Trung Quốc phục hồi nhanh sau dịch.",Kinh doanh,"Thứ hai, 17/8/2020, 01:00 (GMT+7)",kinh tế trung quốc,phục hồi kinh tế,trung quốc,covid-19,,,,,,,,,,,,
https://vnexpress.net/am-muu-ha-nhuc-co-vo-tre-ngoai-tinh-4147426.html,Âm mưu hạ nhục cô vợ trẻ ngoại tình,Cuộc tình của doanh nhân Jonathan Nyce và Michelle bắt đầu như chuyện cổ tích nàng Lọ Lem nhưng lại có cái kết bi thảm.,Pháp luật,"Thứ hai, 17/8/2020, 00:00 (GMT+7)",ngoại tình,chuyện tình,án mạng do ngoại tình,hồ sơ phá án,cảnh sát mỹ,bác sĩ,doanh nhân,,,,,,,,,
https://vnexpress.net/pham-quynh-anh-thu-ven-cuoc-song-thoi-dich-4146371.html,Phạm Quỳnh Anh thu vén cuộc sống thời dịch,"Ca sĩ Phạm Quỳnh Anh chủ động hủy hết show diễn trong tháng 8, cắt giảm nhu cầu mua đồ xa xỉ để tiết kiệm cho gia đình.",Giải trí,"Thứ hai, 17/8/2020, 00:00 (GMT+7)",phạm quỳnh anh,ca sĩ phạm quỳnh anh,sao ứng phó dịch,,,,,,,,,,,,,
https://vnexpress.net/chang-trai-duc-ve-viet-nam-tim-me-4136473.html,Chàng trai Đức về Việt Nam tìm mẹ,"Giữa trưa hè tháng 7, Fabian Schreck sải bước trên con phố nhỏ ở Thanh Hóa. Lần thứ 3 trở lại đây, mọi thứ đã thân thuộc với chàng trai người Đức 21 tuổi.",Đời sống,"Thứ hai, 17/8/2020, 05:05 (GMT+7)",tìm mẹ,chàng trai đức,tình mẫu tử,trẻ mồ côi,,,,,,,,,,,,
https://vnexpress.net/thanh-pho-bot-bien-cach-ngan-lu-lut-moi-cua-trung-quoc-4146875.html,'Thành phố bọt biển' - cách ngăn lũ lụt mới của Trung Quốc,"""Thành phố bọt biển"" dựng vườn trên mái nhà, vỉa hè thấm nước và bể chứa ngầm để kiểm soát nguy cơ lũ từ các con sông.",Thế giới,"Thứ hai, 17/8/2020, 00:00 (GMT+7)",trung quốc lũ lụt,thành phố bọt biển,dự án ngăn lũ,đập tam hiệp,lũ lụt càn quét phía nam trung quốc,,,,,,,,,,,
https://vnexpress.net/biden-va-harris-chia-buon-voi-gia-dinh-trump-4147499.html,Biden và Harris chia buồn với gia đình Trump,Ứng viên tổng thống và phó tổng thống đảng Dân chủ gửi lời chia buồn với gia đình Trump sau khi em trai Tổng thống qua đời.,Thế giới,"Thứ hai, 17/8/2020, 08:38 (GMT+7)",trump,tổng thống mỹ,donald trump,em trai trump,robert trump,em trai trump qua đời,,,,,,,,,,
